Id,0,Degree
Abbie Cornish,cast,8
Ben Whishaw,cast,16
Paul Schneider,cast,4
Kerry Fox,cast,8
Edie Martin,cast,2
Claudie Blakley,cast,2
Gerard Monaco,cast,2
Antonia Campbell-Hughes,cast,4
Samuel Roukin,cast,2
Dhanak,movie,9
Nagesh Kukunoor,director,42
Krrish Chhabria,cast,2
Hetal Gada,cast,2
Vipin Sharma,cast,26
Gulfam Khan,cast,2
Suresh Menon,cast,8
Vijay Maurya,cast,17
Rajiv Lakshman,cast,4
Ninad Kamat,cast,8
Gurgaon,movie,7
Shanker Raman,director,7
Akshay Oberoi,cast,12
Pankaj Tripathi,cast,27
Ragini Khanna,cast,4
Aamir Bashir,cast,18
Shalini Vatsa,cast,9
Ashish Verma,cast,8
Here and There,movie,6
JP Habac,director,14
Janine Gutierrez,cast,4
JC Santos,cast,4
Victor Anastacio,cast,2
Yesh Burce,cast,2
Lotlot De Leon,cast,6
In the Cut,movie,9
Meg Ryan,cast,4
Mark Ruffalo,cast,15
Jennifer Jason Leigh,cast,15
Nick Damici,cast,4
Sharrieff Pugh,cast,4
Kevin Bacon,cast,14
Yaani King Mondschein,cast,2
Heather Litteer,cast,2
Shikara,movie,9
Vidhu Vinod Chopra,director,9
Aadil Khan,cast,2
Sadia Khateeb,cast,2
Zain Khan Durrani,cast,4
Priyanshu Chatterjee,cast,4
Bhavna Chauhan,cast,2
Ashwin Dhar,cast,2
Farid Azad Khan,cast,2
Saghar Sehrai,cast,2
A Cinderella Story,movie,16
Mark Rosman,director,16
Hilary Duff,cast,2
Chad Michael Murray,cast,8
Jennifer Coolidge,cast,17
Dan Byrd,cast,4
Regina King,cast,6
Julie Gonzalo,cast,2
Lin Shaye,cast,25
Madeline Zima,cast,4
Andrea Avery,cast,2
Mary Pat Gleason,cast,6
Paul Rodriguez,cast,6
Whip Hubley,cast,4
Kevin Kilner,cast,2
Erica Hubbard,cast,6
Simon Helberg,cast,2
Agatha Christie's Crooked House,movie,11
Gilles Paquet-Brenner,director,31
Glenn Close,cast,23
Terence Stamp,cast,18
Max Irons,cast,4
Gillian Anderson,cast,7
Christina Hendricks,cast,17
Stefanie Martini,cast,4
Julian Sands,cast,8
Honor Kneafsey,cast,7
Christian McKay,cast,4
Amanda Abbington,cast,2
An Unfinished Life,movie,11
Lasse Hallström,director,74
Robert Redford,cast,12
Jennifer Lopez,cast,12
Morgan Freeman,cast,31
Josh Lucas,cast,14
Damian Lewis,cast,4
Camryn Manheim,cast,6
Becca Gardner,cast,2
Lynda Boyd,cast,4
Rob Hayter,cast,2
P. Lynn Johnson,cast,2
Barbie Big City Big Dreams,movie,6
Scott Pleydell-Pearce,director,6
America Young,cast,19
Amber May,cast,2
Giselle Fernandez,cast,2
Alejandro Saab,cast,2
Dinora Walcott,cast,2
