Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Martufello,Martufello,cast,2,0,22,0.103571,0.108315,0
Gatao - The Last Stray,Gatao - The Last Stray,movie,13,0,23,0.110317,0.116168,0.000848
Ray Jiang,Ray Jiang,director,13,0,23,0.110317,0.116168,0.000848
Cheng Jen-shuo,Cheng Jen-shuo,cast,4,0,24,0.099383,0.103688,0.001214
Nikki Hsieh,Nikki Hsieh,cast,2,0,24,0.099357,0.103487,0
Jack Kao,Jack Kao,cast,6,0,22,0.113028,0.119079,0.000598
Lung Shao-hua,Lung Shao-hua,cast,4,0,23,0.10316,0.108028,0.000028
Alan Kuo,Alan Kuo,cast,2,0,24,0.099357,0.103487,0
Alex Ko,Alex Ko,cast,2,0,24,0.099357,0.103487,0
Huang Shang-ho,Huang Shang-ho,cast,2,0,24,0.099357,0.103487,0
Gary Tang,Gary Tang,cast,2,0,24,0.099357,0.103487,0
Chang Zhang-xing,Chang Zhang-xing,cast,2,0,24,0.099357,0.103487,0
Panda Wu,Panda Wu,cast,2,0,24,0.099357,0.103487,0
Samuel Ku,Samuel Ku,cast,4,0,22,0.121395,0.129044,0.001379
Justin Sheng,Justin Sheng,cast,2,0,24,0.099357,0.103487,0
A Place in the Stars,A Place in the Stars,movie,11,0,20,0.124893,0.133669,0.000004
Steve Gukas,Steve Gukas,director,23,0,19,0.141681,0.154454,0.011481
Gideon Okeke,Gideon Okeke,cast,9,0,20,0.126229,0.135352,0.001437
Dejumo Lewis,Dejumo Lewis,cast,2,0,20,0.124099,0.132153,0
Amaka Mgbor,Amaka Mgbor,cast,2,0,20,0.124099,0.132153,0
Mathilda Obaseki,Mathilda Obaseki,cast,2,0,20,0.124099,0.132153,0
Yemi Blaque,Yemi Blaque,cast,2,0,20,0.124099,0.132153,0
Lantana Ahmed,Lantana Ahmed,cast,2,0,20,0.124099,0.132153,0
Patrick Otoro,Patrick Otoro,cast,2,0,20,0.124099,0.132153,0
Femi Brach,Femi Brach,cast,2,0,20,0.124099,0.132153,0
Ladi Alpha,Ladi Alpha,cast,2,0,20,0.124099,0.132153,0
Home,Home,movie,8,0,20,0.149436,0.163311,0.000132
Tim Johnson,Tim Johnson,director,18,0,19,0.162687,0.180957,0.001491
Jim Parsons,Jim Parsons,cast,10,0,20,0.147384,0.160863,0.000222
Rihanna,Rihanna,cast,4,0,20,0.14122,0.153016,0.000089
Steve Martin,Steve Martin,cast,8,0,20,0.149982,0.164506,0.000319
